quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
2310,NSW,Yancoal - Ashton,Camberwell Via Singleton,-32.481769,151.142824
1257.96,NT,Numbulwar Community Power Station,Numbulwar,-14.282944,135.72804
14332.61,VIC,Ecogen Newport Power Station,Newport,-37.835149,144.893278
933,NSW,Attunga Lime Manufacturing Plant,Attunga,-30.923154,150.860299
2671.1,QLD,Tamaree,Gympie,-26.130833,152.667778
2149.588,NSW,Qantas Sydney,Mascot,-33.927507,151.1782
347.717,QLD,Brisbane Airport,Brisbane,-27.384167,153.1175
2506.0842,WA,Darlot Mine Site,Leonora,-27.924,121.272
174.2462,QLD,Roma North Gas Field,43km Ne Roma,-26.324,149.128
604,NT,McArthur River,Borroloola,-16.433422,136.093474
39.8,SA,Wingfield 2,Dry Creek,-34.832088,138.548914
1610,WA,Broome,Broome,-17.981116,122.2047
1320,WA,Bindyadanga,Lagrange,-18.68169,121.7846296
836,WA,Djarindjin,Dampier Peninsular,-16.3955,122.9303
25900.5,WA,DeGrussa Copper Mine,Peak Hill,-25.540556,119.334722
91475.519,NSW,Liddell Power Station,Muswellbrook,-32.371724,150.977589
11535.8156,WA,Mt Webber Iron Ore Mine,East Pilbara,-21.546,119.284
1720,QLD,Bromelton,Bromelton,-27.994108,152.932405
1305,WA,Murchison Radio Astronomy Power Station,South Murchison,-26.753,116.65915
4179,WA,Horizon Power Denham Power Station,Denham,-25.916389,113.533611
24000,QLD,Jax Coal Mine,Collinsville,-20.709315,147.859417
2270,NT,Phillip Creek Compressor Station,Tennant Creek,-19.4485,133.8553
112744.1777,WA,Fimiston Operations,Trafalgar,-30.7675,121.508056
4514.946,WA,Mount Pleasant Operations,Kalgoorlie,-30.522222,121.230278
2800.114,NSW,Snowy Hydro,Cooma,-36.208847,149.129876
23030,QLD,Bauxite Hills,Mapoon,-11.762912,142.066085
2650.415,NT,Cosmo Howley Mine Site,Hayes Creek,-13.538,131.371
2620,NSW,Duralie Coal Pty Ltd,Stroud Road,-32.296976,151.944183
107170,QLD,Grosvenor,Moranbah,-21.9727,148.012
4468.998,SA,KEVIN MINE,Penong,-32.028788,133.08572
4.83236,WA,Learmonth Airport,Learmonth,-22.231667,114.087222
7968.71,WA,Southern Ports - Esperance,Esperance,-33.869444,121.8925
577.5712,VIC,Alfred Hospital Cogeneration Plant,Melbourne,-37.845709,144.981618
111.092,VIC,M.C. HERD PROPRIETARY LIMITED,Corio,-38.06586,144.358963
92.423,VIC,Perfection Packaging,Dandenong South,-38.008279,145.237357
1108.1508,VIC,Peerless,Braybrook,-37.776031,144.863168
208.0389,VIC,Tongala,Tongala,-36.255388,144.93146
160.03,VIC,Sun Pharma Controlled Substances Division,Port Fairy,-38.381197,142.226442
485.843,VIC,Drysdale Resource Recovery Centre and Landfill,Drysdale,-38.15629,144.627296
220.441,VIC,Geelong Galvanizing,Corio,-38.060406,144.35688
95.2608,VIC,Note Printing Australia Limited,Craigieburn,-37.611378,144.944654
38.13,VIC,"Olex Australia Pty Ltd, Lilydale",Lilydale,-37.757765,145.352923
2961.925992,TAS,Austral Bricks,Longford,-41.616636,147.11177
246.437,TAS,Simplot Devonport Plant,Quoiba,-41.207027,146.347882
2798.9419,TAS,Simplot Ulverstone Plant,Ulverstone,-41.162845,146.15794
6.51662,TAS,Jackson St Waste Management Centre,Glenorchy,-42.843962,147.246739
363.41,VIC,Heidelberg Repatriation Hospital,Heidelberg West,-37.754922,145.048786
447.9486,VIC,Geelong Hospital Cogeneration Plant,Geelong,-38.15162,144.36614
1000.3168,NSW,Caroona Feedlot,Quirindi,-31.391667,150.375
132.354,NSW,Unilever Minto,Minto,-34.041598,150.840813
693.812,NSW,Prime City Feedlot,Tabbita,-34.106111,145.736111
763.40485,NSW,Kellogg Botany Plant,Botany,-33.947896,151.210541
17100,NSW,MolyCop Waratah,Waratah,-32.893815,151.723715
2158.866,NSW,Boral Dunmore Quarry,Dunmore,-34.609836,150.833973
2391.183,NSW,Tahmoor Coal Mine,Tahmoor,-34.249129,150.577068
